city,avg_beds_number_per_city,avg_square_m_price,first_sale_date_per_city,last_sale_date_per_city
ANTELOPE,3.3636363636363638,1513.140292051986,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
AUBURN,3.0,inf,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
CAMERON PARK,2.4444444444444446,inf,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
CARMICHAEL,3.05,2018.8988666390828,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
CITRUS HEIGHTS,3.2285714285714286,1542.735881131674,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
COOL,3.0,2216.316485929993,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
DIAMOND SPRINGS,3.0,1788.738350340923,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
EL DORADO,2.5,2018.6155859795376,Fri May 16 00:00:00 EDT 2008,Mon May 19 00:00:00 EDT 2008
EL DORADO HILLS,3.4347826086956523,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
ELK GROVE,3.3596491228070176,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
ELVERTA,3.25,1166.4032011506015,Mon May 19 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
FAIR OAKS,3.0,1917.864934938876,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
FOLSOM,3.2941176470588234,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
FORESTHILL,0.0,inf,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
GALT,3.3333333333333335,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
GARDEN VALLEY,3.0,inf,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
GOLD RIVER,2.25,inf,Mon May 19 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
GRANITE BAY,4.666666666666667,2494.5286078696395,Fri May 16 00:00:00 EDT 2008,Mon May 19 00:00:00 EDT 2008
GREENWOOD,3.0,1493.9369669711878,Wed May 21 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
LINCOLN,1.0,inf,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
LOOMIS,4.0,3975.995666199775,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
MATHER,3.0,1222.961248504539,Wed May 21 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
MEADOW VISTA,3.0,2035.9370000000001,Tue May 20 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
NORTH HIGHLANDS,3.0476190476190474,1286.098908718419,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
ORANGEVALE,3.3636363636363638,1855.4411989464074,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
PENRYN,3.0,4131.775933905455,Mon May 19 00:00:00 EDT 2008,Mon May 19 00:00:00 EDT 2008
PLACERVILLE,2.9,inf,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
POLLOCK PINES,2.6666666666666665,1949.6328041724948,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
RANCHO CORDOVA,2.642857142857143,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
RANCHO MURIETA,2.6666666666666665,inf,Tue May 20 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
RIO LINDA,2.6923076923076925,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
ROCKLIN,2.764705882352941,inf,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
ROSEVILLE,2.7708333333333335,inf,Fri May 16 00:00:00 EDT 2008,Tue May 20 00:00:00 EDT 2008
SACRAMENTO,3.0273348519362187,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
SHINGLE SPRINGS,0.0,inf,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
SLOUGHHOUSE,3.0,3.697667605633803,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
WALNUT GROVE,3.0,2368.4342513028373,Fri May 16 00:00:00 EDT 2008,Fri May 16 00:00:00 EDT 2008
WEST SACRAMENTO,0.6666666666666666,inf,Thu May 15 00:00:00 EDT 2008,Thu May 15 00:00:00 EDT 2008
WILTON,3.4,inf,Fri May 16 00:00:00 EDT 2008,Wed May 21 00:00:00 EDT 2008
