city,avg_price_per_city,total_price_per_city
ANTELOPE,232496.39393939395,7672381
AUBURN,405890.8,2029454
CAMERON PARK,267944.44444444444,2411500
CARMICHAEL,295684.75,5913695
CITRUS HEIGHTS,187114.91428571427,6549022
COOL,300000.0,300000
DIAMOND SPRINGS,216033.0,216033
EL DORADO,247000.0,494000
EL DORADO HILLS,491698.95652173914,11309076
ELK GROVE,271157.6929824561,30911977
ELVERTA,132866.0,531464
FAIR OAKS,303500.6666666667,2731506
FOLSOM,414960.17647058825,7054323
FORESTHILL,194818.0,194818
GALT,236943.42857142858,4975812
GARDEN VALLEY,490000.0,490000
GOLD RIVER,358000.0,1432000
GRANITE BAY,678733.3333333334,2036200
GREENWOOD,395000.0,395000
LINCOLN,96539.26388888889,6950827
LOOMIS,567000.0,1134000
MATHER,237800.0,237800
MEADOW VISTA,230000.0,230000
NORTH HIGHLANDS,135659.33333333334,2848846
ORANGEVALE,279159.54545454547,3070755
PENRYN,506688.0,506688
PLACERVILLE,363863.4,3638634
POLLOCK PINES,240302.66666666666,720908
RANCHO CORDOVA,263405.9285714286,7375366
RANCHO MURIETA,297750.0,893250
RIO LINDA,172727.61538461538,2245459
ROCKLIN,381835.82352941175,6491209
ROSEVILLE,324528.25,15577356
SACRAMENTO,197735.98861047835,86806099
SHINGLE SPRINGS,275000.0,275000
SLOUGHHOUSE,2000.0,2000
WALNUT GROVE,380000.0,380000
WEST SACRAMENTO,170700.0,512100
WILTON,617508.4,3087542
